ApplicantNumber,Decision,Reason,BachelorCountry,UniversityName,UniversityWhitelisted,HasVPD,HasBachelorCertificate,HasTranscript,OtherDocuments,Claimed_Grade,OCR_Grade,Grade_Source,Claimed_Mathematik,OCR_Mathematik,MatchedModules,UnrecognizedLines,Extraction_Method
89000101,No,Grade too low (2.55 > 2.4).; Language certificate status: required but not available; Transcript chosen by OCR classifier: transcipt_hhu.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.55,,Claimed,0.0,0.0,,,ocr_hocr_line
89000101,No,Grade too low (2.55 > 2.4).; Language certificate status: required but not available; Transcript chosen by OCR classifier: transcipt_hhu.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.55,,Claimed,0.0,0.0,,,ocr_hocr_line
89000107,No,Grade too low (3.0 > 2.4).; Language certificate status: required but not available; Transcript chosen by OCR classifier: uk_transscript.pdf; ECTS (OCR) status: Not fulfilled; Documents insufficient: VPD missing for Non-EU applicant.,Vereinigtes Königreich,University Bath,No,No,No,Yes,,3.0,,Claimed,0.0,0.0,introduction to statistics -> Mathematik:0.0 | ES10003 Core skills for economists: introduction to statistics 6 1 54 Pass,,ocr_hocr_line
89000110,No,Language certificate status: required but not available; Transcript chosen by OCR classifier: wientor.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,1.0,,Claimed,0.0,9.0,logic -> Mathematik:6.0 | 200050 UE Psychologische Psychological Counselling Gesprachsfuhrung Skills 2.00 6.00 01.07.2014 Reinhard P Drobetz 4 | logic -> Mathematik:3.0 | zoonga ‘vo Genderforschung Introduction to Psychological Gender asi 3.00 04.10.2013 Seliger Elisabeth Ponocny- 1,,ocr_hocr_column
89000100,No,"Language certificate status: required but not available; No clear transcript detected, largest PDF used for ECTS.; ECTS (OCR) status: Not fulfilled; Documents insufficient: VPD missing for Non-EU applicant.",China (VR),bonn,No,No,No,No,"test_transcirpt.pdf, test_transcirpt_2.pdf, test_transcirpt_1.pdf",1.1,,Claimed,0.0,0.0,,,ocr_hocr_line
89000103,No,Grade too low (2.6 > 2.4).; Language certificate status: required but not available; Transcript chosen by OCR classifier: transcipt_hhu.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.6,,Claimed,0.0,0.0,,,ocr_hocr_line
89000111,No,Language certificate status: available (likely sufficient TOEFL); Transcript chosen by OCR classifier: ruhrtor.pdf; ECTS (OCR) status: Not fulfilled,Deutschland,,No,No,No,Yes,,2.0,,Claimed,0.0,0.0,,,ocr_hocr_line
89000106,No,"Grade mismatch between DOM and OCR (claimed: 2.4, OCR: 2.3); Language certificate status: required but not available; Transcript chosen by OCR classifier: Bachelor-Zeugnis.jpg.pdf; ECTS (OCR) status: Not fulfilled",Deutschland,,No,No,No,Yes,,2.4,2.3,OCR,0.0,0.0,"logic -> Mathematik:0.0 | Physiotherapie II: Neurologic 2,8 (befriedigend) 9",,ocr_hocr_line
89000108,Yes,Language certificate status: required but not available; Transcript chosen by OCR classifier: transcriptINO.pdf; ECTS (OCR) status: Fulfilled,Deutschland,,No,No,No,Yes,,1.0,,Claimed,0.0,49.0,"analysis 1 -> Mathematik:10.0 | AA-B20212 Analysis 1 1,0 WiSe 2021/22 10 | programmierung -> Mathematik:5.0 | AAI-B 20212 Qbjektorientierte Programmierung 1,0 SoSe 2024 5 | theoretische informatik -> Mathematik:5.0 | AA-B20212 Theoretische Informatik 1,0 SoSe 2022 5 | algebra -> Mathematik:7.0 | AA-B20212 ineare Algebra 3,0 SoSe 2022 7 | analysis 2 -> Mathematik:5.0 | AA-B20212 Analysis 2 1,0 SoSe 2022 5 | stochastik -> Mathematik:5.0 | AAI-B 20212 ~— Stochastik 2,0 WiSe 2022/23 5 | optimierung -> Mathematik:5.0 | AAI-B 20212 Numerische Methoden und Optimierung 2,0 WiSe 2022/23 5 | software engineering -> Mathematik:7.0 | AAI-B 20212 Software-Engineering-Praxis 1,3 SoSe 2024 7",,ocr_hocr_column
89000109,No,"Grade too low (3.0 > 2.4).; Language certificate status: required but not available; No clear transcript detected, largest PDF used for ECTS.; ECTS (OCR) status: Not fulfilled; Documents insufficient: VPD missing for Non-EU applicant.",Indien,uni sdfsdf,No,No,No,No,indain_tor.pdf,3.0,,Claimed,0.0,0.0,,,ocr_hocr_line
89000099,No,"Language certificate status: required but not available; No clear transcript detected, largest PDF used for ECTS.; ECTS (OCR) status: Not fulfilled",Deutschland,,No,No,No,No,"test_transcirpt.pdf, test_transcirpt_2.pdf, test_transcirpt_1.pdf",1.0,,Claimed,0.0,0.0,,,ocr_hocr_line
89000112,No,No usable grade found (source: None).; Language certificate status: required but not available; No PDFs for ECTS evaluation.,,,No,No,No,No,,,,None,0.0,0.0,,,N/A
89000113,No,"Language certificate status: required but not available; No clear transcript detected, largest PDF used for ECTS.; ECTS (OCR) status: Not fulfilled; Documents insufficient: VPD missing for Non-EU applicant.",Vereinigtes Königreich,asdas,No,No,Yes,No,decert.pdf,1.4,,Claimed,0.0,0.0,,,ocr_hocr_line
